section	verse	gospel_refs	text
II	45	Luke ii. 37	with her husband seven years from her virginity, and she remained a widow about eighty-four years); and she left not the temple, and served night and day with
II	46	Luke ii. 38	fasting and prayer. And she also rose in that hour and thanked the Lord, and she
II	47	Luke ii. 39	spake of him with every one who was expecting the deliverance of Jerusalem. And when they had accomplished everything according to what is in the law of the Lord, they returned to Galilee, to Nazareth their city. Footnotes[edit]
III	1, 2	Matt. ii. 1; Matt. ii. 2	And after that, the Magi came from the east to Jerusalem, and said, Where is the King of the Jews which was born? We have seen his star in the east, and have
III	3	Matt. ii. 3	come to worship him. And Herod the king heard, and he was troubled, and all
III	4	Matt. ii. 4	Jerusalem with him. And he gathered all the chief priests and the scribes of the
III	5	Matt. ii. 5	people, and asked them in what place the Messiah should be born. They said, In Bethlehem of Judæa: thus it is written in the prophet,
III	6	Matt. ii. 6	Thou also, Bethlehem of Judah, Art not contemptible among the kings of Judah: From thee shall go forth a king, And he shall be a shepherd to my people Israel.
III	7	Matt. ii. 7	Then Herod called the Magi secretly, and inquired of them the time at which
III	8	Matt. ii. 8	the star appeared to them. And he sent them to Bethlehem, and said unto them, Go and search about the child diligently; and when ye have found him, come and
III	9	Matt. ii. 9	make known to me, that I also may go and worship him. And they, when they heard the king, departed; and lo, the star which they had seen in the east went before them, until it came and stood above the place where the child
III	10, 11	Matt. ii. 10; Matt. ii. 11	was. And when they beheld the star, they rejoiced with very great joy. And they entered the house and beheld the child with Mary his mother, and fell down worshipping him, and opened their saddle-bags and offered to him offerings, gold and
III	12	Matt. ii. 12	myrrh and frankincense. And they saw in a dream that they should not return to Herod, and they travelled by another way in going to their country.
III	13	Matt. ii. 13	And when they had departed, the angel of the Lord appeared in a dream to Joseph, and said unto him, Rise, take the child and his mother, and flee into Egypt, and be thou there until I speak to thee; for Herod is determined to seek the child
III	14	Matt. ii. 14	to slay him. And Joseph arose and took the child and his mother in the night, and
III	15	Matt. ii. 15	fled into Egypt, and remained in it until the time of the death of Herod: that that might be fulfilled which was said by the Lord in the prophet, which said, From
III	16	Matt. ii. 16	Egypt did I call my son. And Herod then, when he saw that he was mocked of the Magi, was very angry, and sent and killed all the male children which were in Bethlehem and all its borders, from two years old and under, according to the time
III	17	Matt. ii. 17	which he had inquired from the Magi. Then was fulfilled the saying in Jeremiah the prophet, which said,
III	18	Matt. ii. 18	A voice was heard in Ramah, Weeping and much lamentation; Rachel weeping for her children, And not willing to be consoled for their loss.
III	19	Matt. ii. 19	But when Herod the king died, the angel of the Lord appeared in a dream to
III	20	Matt. ii. 20	Joseph in Egypt, and said unto him, Rise and take the child and his mother, and go into the land of Israel; for they have died who sought the child’s life.
III	21	Matt. ii. 21	And Joseph rose and took the child and his mother, and came to the land
III	22	Matt. ii. 22	of Israel. But when he heard that Archelaus had become king over Judæa instead of Herod his father, he feared to go thither; and he saw in a dream that he should
III	23	Matt. ii. 23	go into the land of Galilee, and that he should abide in a city called Nazareth: that the saying in the prophet might be fulfilled, that he should be called a Nazarene.
III	24	Luke ii. 40	And the child grew, and became strong in spirit, becoming filled with wisdom; and the grace of God was upon him.
III	25	Luke ii. 41	And his kinsfolk used to go every year to Jerusalem at the feast of the passover.
III	26	Luke ii. 42	And when he was twelve years old, they went up according to their custom,
III	27	Luke ii. 43	to the feast. And when the days were accomplished, they returned; and the child
III	28	Luke ii. 44	Jesus remained in Jerusalem, and Joseph and his mother knew not: and they supposed that he was with the children of their company. And when they had gone one day’s journey, they sought him beside their people and those who knew them,
III	29	Luke ii. 45	and they found him not; so they returned to Jerusalem and sought him again.
III	30	Luke ii. 46	And after three days they found him in the temple, sitting in the midst of the teachers,
III	31	Luke ii. 47	hearing them and asking them questions; and all who heard him wondered at
III	32	Luke ii. 48	his wisdom and his words. And when they saw him they wondered, and his mother said unto him, My son, why hast thou dealt with us thus? behold, I and thy father
III	33	Luke ii. 49	have been seeking for thee with much anxiety. And he said unto them, Why were
III	34	Luke ii. 50	ye seeking me? know ye not that I must be in the house of my Father? And they
III	35	Luke ii. 51	understood not the word which he spake unto them. And he went down with them, and came to Nazareth; and he was obedient to them: and his mother used to keep all these sayings in her heart.
III	36	Luke ii. 52	And Jesus grew in his stature and wisdom, and in grace with God and men.
III	37	Luke iii. 1	And in the fifteenth year of the reign of Tiberius Cæsar, when Pontius Pilate was governor in Judæa, and one of the four rulers, Herod, in Galilee; and Philip his brother, one of the four rulers, in Ituræa and in the district of Trachonitis; and
III	38	Luke iii. 2	Lysanias, one of the four rulers, in Abilene; in the chief-priesthood of Annas and Caiaphas, the command of God went forth to John the son of Zacharias in the
III	39	Luke iii. 3	desert. And he came into all the region which is about Jordan, proclaiming the
III	40	Matt. iii. 1	baptism of repentance unto the forgiveness of sins. And he was preaching in the
III	41	Matt. iii. 2	wilderness of Judæa, and saying, Repent ye; the kingdom of heaven is come near.
III	42	Matt. iii. 3	This is he that was spoken of in Isaiah the prophet, The voice which crieth in the desert,
III	43	Luke iii. 4	Prepare ye the way of the Lord, And make straight in the plain, paths for our God.
III	44	Luke iii. 5	All the valleys shall become filled, And all the mountains and hills shall become low; And the rough shall become plain, And the difficult place, easy;
III	45	Luke iii. 6	And all flesh shall see the salvation of God.
III	46	John i. 7	This man came to bear witness, that he might bear witness to the light, that
III	47	John i. 8	every man might believe through his mediation. He was not the light, but that he
III	48	John i. 9	might bear witness to the light, which was the light of truth, that giveth light to
III	49	John i. 10	every man coming into the world. He was in the world, and the world was made
III	50		by him, and the world knew
III	51	John i. 11; John i. 12	him not. He came unto his own, and his own received him not. And those who received him, to them gave he the power that they might
III	52	John i. 13	be sons of God,—those which believe in his name: which were born, not of blood,
III	53	John i. 14	nor of the will of the flesh, nor of the will of a man, but of God. And the Word became flesh, and took up his abode among us; and we saw his glory as the glory
III	54	John i. 15	of the only Son from the Father, which is full of grace and equity. John bare witness of him, and cried, and said, This is he that I said cometh after me and
III	55	John i. 16	was before me, because he was before me. And of his fullness received
III	56	John i. 17	we all grace for grace. For the law was given through the mediation of Moses, but truth and grace were through Jesus Christ. Footnotes[edit]
IV	1	John i. 18	No man hath seen God at any time; the only Son, God, which is in the bosom of his Father, he hath told of him.
IV	2	John i. 19	And this is the witness of John when the Jews sent to him from Jerusalem priests
IV	3	John i. 20	and Levites to ask him, Who art thou? And he acknowledged, and denied not;
IV	4	John i. 21	and he confessed that he was not the Messiah. And they asked him again, What then? Art thou Elijah? And he said, I am not he. Art thou a prophet? He
IV	5	John i. 22	said, No. They said unto him, Then who art thou? that we may answer them that
IV	6	John i. 23	sent us. What sayest thou of thyself? And he said, I am the voice that crieth in
IV	7	John i. 24	the desert, Repair ye the way of the Lord, as said Isaiah the prophet. And they
IV	8	John i. 25	that were sent were from the Pharisees. And they asked him and said unto him, Why baptizest thou now, when thou art not the Messiah, nor Elijah, nor a prophet?
IV	9	John i. 26	John answered and said unto them, I baptize with water: among you is standing
IV	10	John i. 27	one whom ye know not: this is he who I said cometh after me and was before
IV	11	John i. 28	me, the latchets of whose shoes I am not worthy to unloose. And that was in Bethany beyond Jordan, where John was baptizing.
IV	12	Matt. iii. 4	Now John’s raiment was camel’s hair, and he was girded with skins, and his food
IV	13	Matt. iii. 5	was of locusts and honey of the wilderness. Then went out unto him the people of Jerusalem, and all Judæa, and all the region which is about the
IV	14, 15	Matt. iii. 6; Matt. iii. 7	Jordan; and they were baptized of him in the river Jordan, confessing their sins. But when he saw many of the Pharisees and Sadducees coming to be baptized, he said unto them, Ye children of vipers, who hath led you to flee from the wrath to come?
IV	16, 17	Matt. iii. 8; Matt. iii. 9	Do now the fruits which are worthy of repentance; and think and say not within yourselves, We have a father, even Abraham; for I say unto you, that God is able to
IV	18	Matt. iii. 10	raise up of these stones children unto Abraham. Behold, the axe hath been laid at the roots of the trees, and so every tree that beareth not good fruit shall be taken and
IV	19	Luke iii. 10	cast into the fire. And the multitudes were asking him and saying, What shall we do?
IV	20	Luke iii. 11	He answered and said unto them, He that hath two tunics shall give to him that
IV	21	Luke iii. 12	hath not; and he that hath food shall do likewise. And the publicans also came
IV	22	Luke iii. 13	to be baptized, and they said unto him, Teacher, what shall we do? He said unto
IV	23	Luke iii. 14	them, Seek not more than what ye are commanded to seek. And the servants of the guard asked him and said, And we also, what shall we do? He said unto them, Do not violence to any man, nor wrong him; and let your allowances satisfy you.
IV	24	Luke iii. 15	And when the people were conjecturing about John, and all of them thinking
IV	25	Luke iii. 16	in their hearts whether he were haply the Messiah, John answered and said unto them, I baptize you with water; there cometh one after me who is stronger than I, the latchets of whose shoes I am not worthy to loosen; he will baptize you with the
IV	26	Luke iii. 17	Holy Spirit and fire: who taketh the fan in his hand to cleanse his threshing-floors, and the wheat he gathereth into his garners, while the straw he shall burn in fire which can not be put out.
IV	27	Luke iii. 18	And other things he taught and preached among the people.
IV	28	Matt. iii. 13	Then came Jesus from Galilee to the Jordan to John, to be baptized of him.
IV	29	Luke iii. 23	And Jesus was about thirty years old, and it was supposed that he was the son of
IV	30	John i. 29	Joseph. And John saw Jesus coming unto him, and said, This is the Lamb of
IV	31	John i. 30	God, that taketh on itself the burden of the sins of the world! This is he concerning whom I said, There cometh after me a man who was before me, because he was
IV	32	John i. 31	before me. And I knew him not; but that he should be made manifest to Israel,
IV	33	Matt. iii. 14	for this cause came I to baptize with water. And John was hindering him and
IV	34	Matt. iii. 15	saying, I have need of being baptized by thee, and comest thou to me? Jesus answered him and said, Suffer this now: thus it is our duty to fulfill all righteousness.
IV	35	Luke iii. 21	Then he suffered him. And when all the people were baptized, Jesus also
IV	36	Matt. iii. 16	was baptized. And immediately he went up out of the water, and heaven opened
IV	37	Luke iii. 22	to him, and the Holy Spirit descended upon him in the similitude of the
